Questions,A,B,C,D,Correct Option
That a driver SWERVES in order to avoid an accident can be proven by examining the marks on the pavements. (The capitalized word nearly means),Stops quickly,Turns sharply,Hits something else,Goes backward,B
"Choose the synonym for the word ""ABRIDGE""",To make a bridge,Shorten,Magnify,Divert,B
It is general perception that doctors have a CALLOUS disregard for feeling of others. (The capitalized word nearly means ) ,Respectable,Careful,Unfeeling,Sensitive,C
A THRIFTY buyer purchases fruits and vegetables in season. (The capitalized word nearly means),Careful,Professional,Disinterested,Interested,A
They left their homeland to another country in the hope of securing a better future for their families.,Emigrants,Immigrants,Migrants,Strollers,A
The young lady was attracting a lot of negative attention at the party because she was wearing silver grown.,Grim,Garnish,Gaudy,Gob smacked,C
My dog happily _______ itself under the table and chewed contentedly at a piece of bone.,Eclipsed,Elucidated,Exhumed,Ensconced,D
To join the great majority means:,To accept a challange and get ready for a fight,To die,To supprt the views of majority,To falsify an account in order to deceive,B
"The word ""LABYRINTH means:",Maze,Heap,Hive,Knack,A
"Find out antonym of ""Mumbled""",Unprovoked,Quiver,Loud,Rarely,C
The word closest in meaning to Empathy is ________.,Harshness,Compassion,Cruelty,Charity,B
Varacity most closely refers to:,Actuality,Mistake,Denial,Huge,A
