Questions,A,B,C,D,Correct Option
During production of X-rays the cathode and anode are enclosed inside an evacuated glass chamber and high DC voltage of the order of:,1000V is maintained,"10,000V is maintained","25,000V is maintained","50,000 is maintained",A
The wavelength associated with an electronis of the order of:,Visible light,X-rays,Radio waves,Infrared,B
Which photon carries the most energy?,Blue,Violet,Red,Green,B
Which one of the following series lies in the ultraviolet region?,Balmer series,Pascher series,Lyman series,Brcaket series,C
Red light is used in photographic dark room because of,"More frequency, less wavelength","Less frequency, less wavelength","Less frequency, more wavelength","More frequency, more wavelength",C
Ionization energy of hydrogena tom is:,0.54 eV,0.85 eV,3.39 eV,13.6 eV,D
Electron in a hydElectron in a hydrogen atom makes a transition from (-13.58) eV to (-0.38) eV by absorbing a photon. Calculate the frequency of radiation that will be emitted when it falls back to 13.58 eV.,2.19*(10^15) Hz,2.9*(10^14) Hz,4.19*(10^15) Hz,2.7*(10^15) Hz,C
In photoelectric effect the maximum kinetic energy of emitted electron from a metal surface is given by the equal Emxx=v*e Where V stands for,Stopping potential,Increasing potential,Variable potential,Decreaing potential,D
"In Compton effect, the value of h/(m*c) is given by",2.43*(10^(-12)) m,3.46*(10^(-6)) m,2.56*(10^(-12)) m,1.43*(10^(-11)) m,A
"In an xeray tabe, electrons are accelerated through a potential difference of V wots and then strike metal with What is the minimum 11%. wavelength of x-rays emitted the target.",Cv/hc,Hc/cV,Hcv/c,Hc/cv,A
The continuous specturm of X-ray is formed due to,Charcteristic of X-rays,Bremsstrahlung X-ray,Soft X-ray,Hard X-ray,B
Wavelength of y-ray is,Equal to the x-rays,Longer to the x-rays,Shorter to the x-rays,Boarder to the x-rays,C
The shadow of the bone in x-rays photographic film appears lighter than the surrounding flesh due to,Bones reflect greater amount of X-rays,Bones absorb less amount of X-rays,Bones absorb greater amount of X-rays,Bones totally reflect X-rays,B
"The atom is excited to n energy level Ei from its ground state energy level Eo, the wavelength of the radiations",(Eo-Ei)/(hc),(Eo-Ei)/(hc),(hc)/(Eo-Ei),(Ei/(hc))-(Eo/(hc)),C
Which one of the following gas is the lasing or active medium in the laser tube?,Hydrogen,Helium,Neon,Carbon dioxide,C
The target of x-ray tube is made up of which metal?,Iron,Nickel,Brass,Tungsten,D
The x-rays consists of,High energy proton,High energy electrons,High energy y-rays,High energy photons,D
The frequency of photon having momentum (4.45*(10^(-26))) Ns is:,(2.00*(10^16)) hZ,(2.00*(10^14)) HZ,(5.00*(10^16)) hZ,(2.00*(10^18)) Hz,A
"In X-ray tube, electrons after being accelerated through velocity 'v' strike the target, then the wavelength of emitted X-rays is:",Not greater than (hc)/(eV),Not less than (hc/eV),Equal to the (h/mV),Equal to (hc/eV),D
The energy of electron in the excited state n=4 in hudrogen atom is:,(-13.6) eV,(-0.85) cV,(-3.4) eV,(-1.5) cV,C
A ball of mass 1 gram is moving with a velocity of 10'm The De-broglie wavelength of the ball,13.26*(10^(-36)) m,3.315*(10^(-34)) m,6.63*(10^(-34)) m,4.97*(10^(-36)) m,C
"The energy level of an electron in a hydrogen atom are given by E=13.6/(n^2) where n=1,2,3,…….. the energy required to excite an electron state is",3.4 eV,4.5 eV,10.2 eV,13.6 eV,D
The total energy of a H-atom in its ground state is,Zero,Negative,Positive,Can be both B and C,B
The functional group region in infra-red spectrum lies between:,500 - 1300 cm^(-1),600 - 1500 cm^(-1),1500 - 4000 cm^(-1),2500 - 3500 cm^(-1),C
The ground state energy of H-atom is 13.6 eV. The energy needed to ionize H-atom from its second excited state is:,1.51 eV,3.4 eV,3.4 eV,12.1 eV,A
"n helium neon LASER, the laser light arises from a transition from a _______ state to _______","He, He","Ne, Ne","He, Ne","Ne, He",D
X rays are:,Electromagnetic waves,Negatively charged ions,Rapidly moving electrons,Rapidly moving protons,A
A LASER beam can be sharply focused because it is,Highly conherent,Intense,Place polarized,Highly directional,D
The excited state which persists for unusually longer period of time is called:,Ground state,Ionized state,Metastable state,Ordinary excited state,C
The best shield against x-rays to absorb it is:,Lead,Steel,Iron,Copper,A
Ultraviolet rays differ from the X-rays in that ultraviolet rays:,Cannot be diffracted,Cannot be polarized,Have a low frequency,Do not affect a photograpgic plate,C
The intensity of x-rays depends upon:,Filament Current,Nature of material of target,Operating voltage,All of these,A
"When the voltage of the target in the X-ray tube increases, then the",Penetrating power of x-ray increases,intensity of x-ray increases,wavelength of the x-ray increases,All of these,A
The papetrating rays depends upon,Filament Current,Operating Voltage,The nature of the filament,None of these,B
Choose the region of the spectrum which would be used to determine the stucture of crystalline solids,Visible,Infrared,X-rays,Ultraviolet,C
Laser light is the result of,Spontaneous emission,Ordinary emission,Absorption of radiation emission,Stimulated emission,D
The excited state of an atom which can persist for umusual longer time is called,Metastable state,Ground state,Excited state,Normal state,A
The situation in which then excited state ie. metastable state contains more number of electrons than the ground is called,Ionized state,Stimulations,Population inversion,All of these,C
If 50 KV is the applied potential in ax X-ray tube then minimum wavelength of X-rays produced is:,0.2 nm,2 nm,0.02 nm,2A,C
X-rays are widely used as a diagnostic tool in medicine because of its:,Particle property,Cost of x-ray unit is low,High penetrating power,It is not electromagnetic waves,C
